"Symbol","Date/Time","Buy/Sell","Quantity","Price","Commission"
"EWTX","2025-09-27;01:52:11 AEST","SELL","-100","15.57","-1.0188"
"EWTX","2025-09-27;01:52:11 AEST","SELL","-28","15.57","-0.005264"
"EYPT","2025-09-27;04:08:15 AEST","BUY","100","14.09","-1.0022"
"EYPT","2025-09-27;04:08:15 AEST","BUY","47","14.09","-0.001034"
"EYPT","2025-09-27;03:46:48 AEST","SELL","-147","13.6","-1.027636"
"FLD","2025-09-23;00:00:07 AEST","BUY","200","3.96","-1.0044"
"FLD","2025-09-23;00:00:07 AEST","BUY","305","3.95","-1.53171"
"FLD","2025-09-23;00:02:02 AEST","BUY","100","3.87","-1.0022"
"FLD","2025-09-23;00:02:33 AEST","BUY","500","3.87","-2.011"
"FLD","2025-09-23;00:02:33 AEST","BUY","100","3.87","-0.5022"
"FLD","2025-09-23;00:02:33 AEST","BUY","100","3.87","-0.5022"
"FLD","2025-09-23;00:02:33 AEST","BUY","100","3.87","-0.5022"
"FLD","2025-09-23;00:02:33 AEST","BUY","100","3.87","-0.5022"
"FLD","2025-09-23;00:02:33 AEST","BUY","33","3.87","-0.165726"
"FLD","2025-09-23;05:55:05 AEST","SELL","-505","3.86","-2.61994"
"FLD","2025-09-29;23:50:03 AEST","SELL","-233","3.76","-1.208804"
"FLD","2025-09-29;23:50:03 AEST","SELL","-100","3.76","-0.5188"
"FLD","2025-09-29;23:50:03 AEST","SELL","-100","3.76","-0.5188"
"FLD","2025-09-29;23:50:03 AEST","SELL","-100","3.76","-0.5188"
"FLD","2025-09-29;23:50:03 AEST","SELL","-100","3.76","-0.5188"
"FLD","2025-09-29;23:50:03 AEST","SELL","-400","3.76","-2.0752"
"FLNC","2025-09-23;05:55:05 AEST","BUY","2","10.61","-0.218244"
"FLNC","2025-09-23;05:55:05 AEST","BUY","200","10.61","-0.7962"
